Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
o	o	doea, sapolo	Enggano, CentralMalay, Nias, Mentawai, Acehnese, Rejang, Batakic, Lampungic	40	U+006f
a	a	delapan, anam	CentralMalay, Acehnese, Batakic, Rejang, Enggano, Mentawai, Nias, Lampungic	37	U+0061
e	e	doea, lema	CentralMalay, Rejang, Nias, Enggano, Mentawai, Batakic, Acehnese, Lampungic	31	U+0065
a$	a	doea, lema	Enggano, Lampungic, Nias, CentralMalay, Batakic, Mentawai, Rejang, Acehnese	26	U+0061 U+0024
l	l	sapolo, alima-agoloe	Enggano, CentralMalay, Rejang, Acehnese, Batakic, Nias, Mentawai, Lampungic	23	U+006c
i	i	siwa, akiakoio	Enggano, CentralMalay, Nias, Mentawai, Rejang, Lampungic, Batakic	20	U+0069
^s	s	siwa, sara	CentralMalay, Batakic, Acehnese, Lampungic, Nias, Mentawai, Rejang	16	U+005e U+0073
e$	e	walloe, fitoe	Nias, Mentawai, CentralMalay, Enggano, Lampungic	15	U+0065 U+0024
o$	o	sapolo, oallo	Batakic, Lampungic, Acehnese, Rejang, Enggano	15	U+006f U+0024
m	m	lema, lima	Enggano, CentralMalay, Rejang, Lampungic, Batakic, Acehnese, Nias, Mentawai	15	U+006d
p	p	sapolo, delapan	Rejang, CentralMalay, Enggano, Batakic, Lampungic, Acehnese	14	U+0070
^d	d	doea, delapan	Rejang, CentralMalay, Acehnese, Batakic, Nias, Enggano, Mentawai	12	U+005e U+0064
^a	a	anam, alima-aöpa	Enggano, Lampungic, CentralMalay	12	U+005e U+0061
^t	t	tahapoeloe, tlo	CentralMalay, Rejang, Acehnese, Batakic, Enggano, Mentawai	9	U+005e U+0074
n	n	anam, dlappang	Acehnese, Nias, CentralMalay, Batakic, Lampungic	8	U+006e
^p	p	polo, poeloe	Lampungic, Mentawai, Batakic, Acehnese	7	U+005e U+0070
^l	l	lema, lima	CentralMalay, Rejang, Batakic, Lampungic, Acehnese, Nias, Mentawai	7	U+005e U+006c
m$	m	anam, ennem	CentralMalay, Rejang, Batakic, Lampungic, Acehnese, Nias, Mentawai	7	U+006d U+0024
ll	lː	oallo, walloe	Lampungic, Rejang, Batakic, Nias, Mentawai	6	U+006c U+006c
t	t	fitoe, pitoe	CentralMalay, Batakic, Lampungic, Nias, Mentawai	5	U+0074
t$	t	eppat, pat	CentralMalay, Rejang, Batakic, Acehnese, Mentawai	5	U+0074 U+0024
n$	n	delapan, delapon	Rejang, CentralMalay, Mentawai	5	U+006e U+0024
j	j	sije, toedjoe	Lampungic, Acehnese, Rejang, CentralMalay	4	U+006a
d	d	alima-adoea, toedjoe	Enggano, Batakic, CentralMalay	4	U+0064
w	w	siwa, rowa	Lampungic, Mentawai, Nias	4	U+0077
^o	o	oallo, opat	Batakic, Lampungic	4	U+005e U+006f
^e	e	effa, eppat	Mentawai, Nias	4	U+005e U+0065
g$	g	limang, sakorang	Acehnese, Nias	4	U+0067 U+0024
r	r	sara, sakorang	Mentawai, Acehnese, Nias	3	U+0072
oo	oː	depoolo, dooij	Rejang	3	U+006f U+006f
g	g	alima-agoloe, agoloe	Enggano, CentralMalay	3	U+0067
^f	f	fitoe, feloe	Nias	3	U+005e U+0066
k	k	akiakoio, sakorang	Enggano, Acehnese	3	U+006b
aa	aa	alima-aöpa, alima-adoea	Enggano	3	U+0061 U+0061
-	+	alima-aöpa, alima-adoea	Enggano	3	U+002d
h	h	daheij, tahapoeloe	Enggano	2	U+0068
j$	j	dooij, daheij	Rejang, Enggano	2	U+006a U+0024
pp	pː	eppat, dlappang	Mentawai, Acehnese	2	U+0070 U+0070
ö	ʔ ö	alima-aöpa, aöpa	Enggano	2	U+00f6
^n	n	nam, noom	Acehnese, Rejang	2	U+005e U+006e
^w	w	walloe	Mentawai, Nias	2	U+005e U+0077
^r	r	rowa	Lampungic	1	U+005e U+0072
u	u	pullo	Lampungic	1	U+0075
u$	u	tellau	Rejang	1	U+0075 U+0024
^m	m	mpat	Rejang	1	U+005e U+006d
ff	fː	effa	Nias	1	U+0066 U+0066
_	_	e nem	Nias	1	U+005f
nn	nː	ennem	Mentawai	1	U+006e U+006e
b	b	sembilan	CentralMalay	1	U+0062
oe$	u				
^oe	u				
oe	u				
^ng	ŋ				
ng$	ŋ				
ng	ŋ				
^dj	d͡ʒ				
dj	d͡ʒ				
